strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
RSI with BB,DYDXBTC,-47.66469529328764,-8.795987294540017,55.194300779219596,38.86792452830189,266,,,RSIWithBB,14.0,20.0,,
MA Crossover,DYDXBTC,-96.81172454790799,-55.10605755006676,96.8423745317041,8.812260536398467,262,,,MACrossover,,,25.0,100.0
SMA Crossover,EGLDBTC,-99.94758173060953,-100.04149135862713,99.94758173060953,3.80794701986755,604,15.0,40.0,SMACrossover,,,,
RSI with BB,EGLDBTC,-40.42355195155083,-7.613993748937128,52.21456380421296,38.70967741935484,218,,,RSIWithBB,14.0,20.0,,
MA Crossover,EGLDBTC,-95.85386413874264,-52.123691533727644,95.85386413874267,8.396946564885496,262,,,MACrossover,,,25.0,100.0
SMA Crossover,ENABTC,-99.96453042279829,-75.01922469744159,99.96453042279829,8.7893864013267,603,15.0,40.0,SMACrossover,,,,
RSI with BB,ENABTC,-65.87924728862467,-9.398945331475929,71.44092065710265,41.206896551724135,581,,,RSIWithBB,14.0,20.0,,
MA Crossover,ENABTC,-98.42716048756316,-43.2900743997222,98.4300771832731,12.23021582733813,278,,,MACrossover,,,25.0,100.0
SMA Crossover,ENSBTC,-99.92299081856717,-93.73766888650108,99.92305107614256,5.145797598627787,584,15.0,40.0,SMACrossover,,,,
RSI with BB,ENSBTC,-37.08602192509602,-6.422796007041994,48.30396526805662,40.33613445378151,239,,,RSIWithBB,14.0,20.0,,
MA Crossover,ENSBTC,-97.06408851919892,-56.19975078920347,97.06638578952816,4.797047970479705,272,,,MACrossover,,,25.0,100.0
SMA Crossover,EOSBTC,-99.95962650072694,-107.75513320379956,99.95972816839055,3.453947368421053,608,15.0,40.0,SMACrossover,,,,
RSI with BB,EOSBTC,-34.30648865613148,-6.5858340994752185,42.92373629935337,39.0625,193,,,RSIWithBB,14.0,20.0,,
MA Crossover,EOSBTC,-96.95668357421908,-60.98448169068601,96.9731116377577,7.971014492753622,276,,,MACrossover,,,25.0,100.0
SMA Crossover,ETCBTC,-99.9544840911509,-114.25030532015545,99.9544840911509,2.26537216828479,618,15.0,40.0,SMACrossover,,,,
RSI with BB,ETCBTC,-30.083964390971136,-7.153704326823974,40.18994383086958,38.35616438356164,147,,,RSIWithBB,14.0,20.0,,
MA Crossover,ETCBTC,-96.90111714154611,-68.1263924492275,96.90657001719481,4.642857142857143,281,,,MACrossover,,,25.0,100.0
SMA Crossover,ETHBTC,-99.92473664787357,-111.84524601353887,99.92513396572039,1.680672268907563,596,15.0,40.0,SMACrossover,,,,
RSI with BB,ETHBTC,-11.202473559964503,-2.4746243369891654,27.277189612975327,42.05607476635514,108,,,RSIWithBB,14.0,20.0,,
MA Crossover,ETHBTC,-96.18487448357546,-67.9097687417996,96.20069891067979,3.3707865168539324,268,,,MACrossover,,,25.0,100.0
SMA Crossover,FETBTC,-99.94848184533365,-90.31615714042192,99.94848184533362,4.809286898839138,603,15.0,40.0,SMACrossover,,,,
RSI with BB,FETBTC,-32.34649827415591,-4.369146179666537,49.35850655583695,42.5531914893617,330,,,RSIWithBB,14.0,20.0,,
MA Crossover,FETBTC,-97.51146598945824,-51.59381298560906,97.51146598945822,8.865248226950355,283,,,MACrossover,,,25.0,100.0
SMA Crossover,FILBTC,-99.93068200503386,-97.02855970384277,99.93068200503386,3.130434782608696,575,15.0,40.0,SMACrossover,,,,
RSI with BB,FILBTC,-36.002627307830004,-5.926805418060624,50.27680465093645,38.308457711442784,202,,,RSIWithBB,14.0,20.0,,
MA Crossover,FILBTC,-97.16897051465567,-57.37734232301907,97.16897051465564,8.303249097472925,277,,,MACrossover,,,25.0,100.0
SMA Crossover,FLOWBTC,-99.62908136933477,-87.95577521357546,99.62908136933477,3.211009174311927,436,15.0,40.0,SMACrossover,,,,
RSI with BB,FLOWBTC,-35.720550699843535,-7.840668270197341,46.85347136364981,36.91275167785235,150,,,RSIWithBB,14.0,20.0,,
MA Crossover,FLOWBTC,-95.98985966900031,-61.27480422660319,95.98985966900034,4.938271604938271,244,,,MACrossover,,,25.0,100.0
SMA Crossover,GLMRBTC,-92.22386637836333,-39.750943392603574,92.26866577554476,11.299435028248588,178,15.0,40.0,SMACrossover,,,,
RSI with BB,GLMRBTC,-12.993855021385938,-1.9917637852217902,30.463151344001982,46.36363636363636,111,,,RSIWithBB,14.0,20.0,,
MA Crossover,GLMRBTC,-87.00272313054816,-35.038588044965934,87.07760226677229,13.768115942028986,139,,,MACrossover,,,25.0,100.0
SMA Crossover,GRTBTC,-99.23882328822317,-64.39170084167934,99.24280826092851,7.871720116618077,344,15.0,40.0,SMACrossover,,,,
RSI with BB,GRTBTC,-15.080346973431318,-1.5704579981188778,38.298341879575055,42.77456647398844,174,,,RSIWithBB,14.0,20.0,,
MA Crossover,GRTBTC,-95.72855755653177,-48.121447132992905,95.72855755653175,8.636363636363637,221,,,MACrossover,,,25.0,100.0
SMA Crossover,HBARBTC,-99.99126207204803,-79.02555995174171,99.99126207204806,4.747774480712167,674,15.0,40.0,SMACrossover,,,,
RSI with BB,HBARBTC,-55.31487510219721,-5.132412721125845,64.93239956648318,41.64383561643836,366,,,RSIWithBB,14.0,20.0,,
MA Crossover,HBARBTC,-97.90407753112932,-36.18613232565291,97.9856855497853,7.849829351535837,293,,,MACrossover,,,25.0,100.0
SMA Crossover,HEIBTC,-97.56008972170969,-49.96226142464569,97.64920815874433,10.699588477366255,243,15.0,40.0,SMACrossover,,,,
RSI with BB,HEIBTC,-40.86167812529498,-5.376271243072381,57.085623984897516,42.857142857142854,393,,,RSIWithBB,14.0,20.0,,
MA Crossover,HEIBTC,-88.8227140852839,-32.25450005386153,88.82271408528393,11.194029850746269,135,,,MACrossover,,,25.0,100.0
SMA Crossover,ICPBTC,-99.96684384835748,-110.77537631260947,99.96684384835754,2.5974025974025974,616,15.0,40.0,SMACrossover,,,,
