strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
SMA Crossover,NEXOBTC,-99.9936606042628,-115.98019161777677,99.99372778938042,1.9390581717451523,723,15.0,40.0,SMACrossover,,,,
RSI with BB,NEXOBTC,-36.685040811672216,-6.167217601839175,38.961270668902856,34.58646616541353,134,,,RSIWithBB,14.0,20.0,,
MA Crossover,NEXOBTC,-98.99098986952983,-66.56952608973832,99.00015574505267,3.91566265060241,333,,,MACrossover,,,25.0,100.0
SMA Crossover,NMRBTC,-99.2899150888063,-63.95782060102936,99.29398324863953,9.162303664921465,382,15.0,40.0,SMACrossover,,,,
RSI with BB,NMRBTC,-34.41299941579803,-5.418866177796514,47.53953090004045,42.27272727272727,221,,,RSIWithBB,14.0,20.0,,
MA Crossover,NMRBTC,-94.42046663139764,-42.34398116746885,94.42046663139764,12.556053811659194,223,,,MACrossover,,,25.0,100.0
SMA Crossover,OMBTC,-99.90622661316195,-64.78915943877833,99.90622661316195,6.065857885615252,577,15.0,40.0,SMACrossover,,,,
RSI with BB,OMBTC,-63.26597160324001,-10.186754403521046,66.05550044688266,40.758293838862556,423,,,RSIWithBB,14.0,20.0,,
MA Crossover,OMBTC,-97.6565497552157,-37.25136876482935,97.65654975521568,7.986111111111111,288,,,MACrossover,,,25.0,100.0
SMA Crossover,OMNIBTC,-99.94072933134372,-87.78801165806108,99.94154419954262,6.118881118881119,572,15.0,40.0,SMACrossover,,,,
RSI with BB,OMNIBTC,-38.60365534092446,-5.707341751765689,50.39479005243174,41.80602006688963,300,,,RSIWithBB,14.0,20.0,,
MA Crossover,OMNIBTC,-96.9540345498942,-48.27692488012196,96.96092598069082,10.344827586206897,262,,,MACrossover,,,25.0,100.0
SMA Crossover,ONEBTC,-99.99999870914887,-51.349144538237034,99.99999876632742,1.0638297872340425,282,15.0,40.0,SMACrossover,,,,
RSI with BB,ONEBTC,-97.21599951099644,-4.872286753079509,97.60727802748218,50.529500756429655,662,,,RSIWithBB,14.0,20.0,,
MA Crossover,ONEBTC,-99.99997574825981,-44.37347971356395,99.99997574825981,0.0,233,,,MACrossover,,,25.0,100.0
SMA Crossover,PAXGBTC,-99.93157927875473,-105.86737069869675,99.93157927875473,2.684563758389262,596,15.0,40.0,SMACrossover,,,,
RSI with BB,PAXGBTC,-36.21160049006633,-9.525814920442022,40.01377967844268,32.743362831858406,114,,,RSIWithBB,14.0,20.0,,
MA Crossover,PAXGBTC,-97.18685851622153,-63.20691509900396,97.18685851622153,5.351170568561873,299,,,MACrossover,,,25.0,100.0
SMA Crossover,PNUTBTC,-99.75265644204227,-42.892894505156505,99.76567113203748,13.015184381778742,461,15.0,40.0,SMACrossover,,,,
RSI with BB,PNUTBTC,-84.63234553030466,-12.557213242456612,88.91929339844852,40.313390313390315,703,,,RSIWithBB,14.0,20.0,,
MA Crossover,PNUTBTC,-93.66429722950136,-19.41765774694659,94.8933036897434,12.97071129707113,239,,,MACrossover,,,25.0,100.0
